Run Name,Axle Torque (Nm),Axle Speed (rpm),Power (kW),TqC (Nm),Time (sec),Tailshaft Speed (rpm),Speed (km/h),Tacho [Rat] (rpm),Speed L (rpm),Tq L (Nm),Speed R (rpm),Axle Tq R (Nm),Comments
MUREV2025.0029,178.0,661.76,12.318,54.396,1.3,2587.5,50.818,2162.5,661.6,80.0,661.9,98.0,
MUREV2025.0029,178.0,661.92,12.305,54.394,1.35,2588.1,50.767,2160.3,661.7,80.0,662.2,98.0,
MUREV2025.0029,178.0,663.2,12.291,54.338,1.4,2593.1,50.76,2160.0,663.0,79.5,663.4,98.5,
MUREV2025.0029,177.5,665.36,12.279,54.224,1.45,2601.6,50.818,2162.5,665.2,79.5,665.5,98.0,
MUREV2025.0029,177.0,668.2,12.266,54.05,1.5,2612.7,50.926,2167.1,668.2,79.0,668.2,98.0,
MUREV2025.0029,176.5,671.52,12.277,53.941,1.55,2625.6,51.077,2173.5,671.7,78.5,671.4,98.0,
MUREV2025.0029,175.5,674.2,12.278,53.763,1.6,2636.1,51.25,2180.8,674.4,78.0,674.0,97.5,
MUREV2025.0029,175.5,676.96,12.297,53.649,1.65,2646.9,51.437,2188.8,677.4,78.0,676.6,97.5,
MUREV2025.0029,175.0,679.08,12.329,53.609,1.7,2655.2,51.61,2196.2,679.4,77.5,678.7,97.5,
MUREV2025.0029,175.0,680.8,12.37,53.617,1.75,2661.9,51.775,2203.2,681.1,77.5,680.5,97.5,
MUREV2025.0029,175.0,682.4,12.409,53.628,1.8,2668.2,51.926,2209.6,682.8,77.5,682.0,97.5,
MUREV2025.0029,175.5,684.08,12.444,53.632,1.85,2674.8,52.07,2215.8,684.4,77.5,683.8,98.0,
MUREV2025.0029,175.5,686.4,12.483,53.641,1.9,2683.8,52.222,2222.2,686.7,77.5,686.1,98.0,
MUREV2025.0029,175.0,688.84,12.523,53.645,1.95,2693.4,52.387,2229.2,689.0,77.0,688.6,98.0,
MUREV2025.0029,175.0,691.88,12.556,53.594,2.0,2705.3,52.574,2237.2,692.0,77.0,691.8,98.0,
MUREV2025.0029,175.0,694.96,12.591,53.538,2.05,2717.3,52.776,2245.8,695.0,77.0,694.9,98.0,
MUREV2025.0029,174.5,698.4,12.633,53.488,2.1,2730.7,52.999,2255.3,698.5,76.5,698.3,98.0,
MUREV2025.0029,174.5,701.64,12.676,53.433,2.15,2743.4,53.237,2265.4,701.8,76.5,701.5,98.0,
MUREV2025.0029,174.5,704.4,12.717,53.382,2.2,2754.2,53.46,2274.9,704.6,76.5,704.2,98.0,
MUREV2025.0029,174.0,706.96,12.771,53.393,2.25,2764.2,53.676,2284.1,707.1,76.0,706.8,98.0,
MUREV2025.0029,174.5,708.88,12.831,53.458,2.3,2771.7,53.863,2292.1,709.0,76.0,708.7,98.5,
MUREV2025.0029,174.5,710.88,12.874,53.459,2.35,2779.5,54.043,2299.7,711.0,76.0,710.7,98.5,
MUREV2025.0029,174.5,712.8,12.93,53.521,2.4,2787.0,54.216,2307.1,713.0,76.0,712.6,98.5,
MUREV2025.0029,174.5,714.8,12.968,53.52,2.45,2794.9,54.374,2313.8,715.0,75.5,714.6,99.0,
MUREV2025.0029,174.5,717.56,13.009,53.512,2.5,2805.7,54.554,2321.5,717.8,75.5,717.3,99.0,
MUREV2025.0029,174.5,720.36,13.056,53.516,2.55,2816.6,54.749,2329.7,720.6,75.5,720.1,99.0,
MUREV2025.0029,174.5,723.32,13.091,53.462,2.6,2828.2,54.95,2338.3,723.5,75.0,723.1,99.5,
MUREV2025.0029,174.5,726.76,13.143,53.458,2.65,2841.6,55.174,2347.8,727.0,75.0,726.6,99.5,
MUREV2025.0029,174.0,729.84,13.181,53.395,2.7,2853.7,55.397,2357.3,730.1,74.5,729.6,99.5,
MUREV2025.0029,174.0,733.16,13.241,53.408,2.75,2866.7,55.634,2367.4,733.4,74.5,732.9,99.5,
MUREV2025.0029,174.0,735.52,13.294,53.415,2.8,2875.9,55.85,2376.6,735.8,74.5,735.2,99.5,
MUREV2025.0029,174.5,737.72,13.358,53.478,2.85,2884.5,56.052,2385.2,738.0,74.5,737.4,100.0,
MUREV2025.0029,174.5,739.56,13.417,53.539,2.9,2891.7,56.239,2393.2,739.8,74.5,739.3,100.0,
