Time,Car.DigitalInput.MSS.PDOC.Pin,Car.DigitalInput.MSS.BMS.Pin,Car.DigitalInput.MSS.BSPD.Pin,Car.DigitalInput.MSS.IMD.Pin,Car.Data.Driver.ThrottlePressure,Car.Data.Motor.MotorRPM,Car.AnalogInput.BMS.CellTempASensor,Car.AnalogInput.BMS.CellTempBSensor,Car.AnalogInput.BMS.CellTempCSensor,Car.Data.Battery.PackSOC,Car.Data.PDM.LVBatteryVoltage,Car.Data.Battery.BMSInternalTemp,Car.Data.Inverter.InverterTemp,Car.Data.Motor.MotorTemp,Car.Data.Inverter.InverterLock,Car.Data.Driver.SteeringAngle,Car.Data.Driver.FrontBrakePressure,Car.Data.Driver.RearBrakePressure,Car.Data.Driver.ThrottleDifference,Car.Data.Battery.HotSpotTemp,Car.Data.Battery.PackInstantaneousVoltage,Car.Data.Battery.PackOpenVoltage,Car.Data.Battery.PackCurrent,Car.Data.Battery.PackDCL,Car.Data.Battery.PackCCL,Car.Data.Battery.PackResistance,Car.Data.Battery.HighCellVoltage,Car.Data.Battery.LowCellVoltage,Car.Data.Battery.InputSupplyVoltage,Car.Data.Battery.CurrentLimitsStatus,Car.Data.Battery.HighCellVoltageID,Car.Data.Battery.LowCellVoltageID,Car.Data.Battery.BatteryPower,Car.Data.PDM.CoolingFanCurrent,Car.Data.PDM.CoolingPumpCurrent,Car.Data.PDM.FanState,Car.Data.PDM.PumpState,Car.Data.Inverter.InverterRelay.Relay2,Car.Data.Inverter.PhaseA,Car.Data.Inverter.PhaseB,Car.Data.Inverter.PhaseC,Car.Data.Inverter.InverterDCCurrent,Car.Data.Inverter.InverterDCVoltage,Car.Data.Inverter.InverterFault.Byte0,Car.Data.Inverter.InverterFault.Byte1,Car.Data.Inverter.InverterFault.Byte2,Car.Data.Inverter.InverterFault.Byte3,Car.Data.Inverter.InverterFault.Byte4,Car.Data.Inverter.InverterFault.Byte5,Car.Data.Inverter.InverterFault.Byte6,Car.Data.Inverter.InverterFault.Byte7,Car.Data.Inverter.InverterCMDTorque,Car.Data.Inverter.InverterFDBTorque,Car.DigitalInput.WheelSpeed.WheelSpeedFrontLeft,Car.DigitalInput.WheelSpeed.WheelSpeedFrontRight,Car.Data.Inverter.InverterCalculatedTorque
2014.19,0,0,0,0,16,109,1.71482,0.00498094,1.72435,67,0,23,29,34,0,-2,0,0,1.1,35,4222,4215,95,175,35,435,39110,38961,111,0,14,73,401090,0,0,0,0,1,0,17,35,0,4283,0,0,0,0,0,0,0,0,209,-11,0,0,21
2014.2,0,0,0,0,16,109,1.71597,0.00499104,1.72535,67,0,23,29,34,0,-2,0,0,1,34,4203,4215,45,175,35,435,39129,38983,111,0,41,73,189135,0,0,0,0,1,0,17,35,0,4283,0,0,0,0,0,0,0,0,209,-11,0,0,21
2014.21,0,0,0,0,16,143,1.71566,0.00497496,1.72502,67,0,23,29,34,0,-2,0,0,1,34,4203,4215,7,175,35,435,39129,38983,111,0,41,73,29421,0,0,0,0,1,5,0,0,0,4279,0,0,0,0,0,0,0,0,209,6,0,0,21
2014.22,0,0,0,0,16,430,1.71536,0.00495889,1.7247,67,0,23,29,34,0,-2,0,0,1,34,4203,4215,7,175,35,435,39129,38983,111,0,41,73,29421,0,0,0,0,1,0,0,25,0,4275,0,0,0,0,0,0,0,0,209,-6,0,0,21
2014.23,0,0,0,0,16,764,1.71505,0.00494281,1.72437,67,0,23,29,34,0,-2,0,0,1,34,4207,4215,0,175,35,435,39129,38983,111,0,41,73,0,0,0,0,0,1,73,0,0,5,4272,0,0,0,0,0,0,0,0,209,-45,0,0,21
2014.24,0,0,0,0,16,838,1.71474,0.00492673,1.72404,67,0,23,29,34,0,-2,0,0,1,34,4207,4215,0,175,35,435,39129,38983,111,0,41,73,0,0,0,0,0,1,30,312,0,41,4255,0,0,0,0,0,0,0,0,209,-222,0,0,21
2014.25,0,0,0,0,16,813,1.71444,0.00491066,1.72372,67,0,23,29,34,0,-2,0,0,1,34,4219,4215,1,175,35,435,39129,38983,111,0,41,73,4219,0,0,0,0,1,0,35,788,97,4229,0,0,0,0,0,0,0,0,209,-530,0,0,21
2014.26,0,0,0,0,16,813,1.71413,0.00489458,1.72339,67,0,23,29,34,0,-2,0,0,1,34,4219,4215,1,175,35,435,39129,38983,111,0,41,73,4219,0,0,0,0,1,0,35,788,97,4229,0,0,0,0,0,0,0,0,209,-530,0,0,21
2014.27,0,0,0,0,16,552,1.71382,0.00487851,1.72307,67,0,23,29,34,0,-2,0,0,1,34,4219,4220,51,175,35,435,39129,38983,111,0,41,73,215169,0,0,0,0,1,0,1011,0,85,4247,0,0,0,0,0,0,0,0,209,-685,0,0,21
2014.28,0,0,0,0,16,231,1.71352,0.00486243,1.72274,67,0,23,29,34,0,-2,0,0,1,34,4216,4220,103,175,35,435,39129,38983,111,0,41,73,434248,0,0,0,0,1,190,0,9,6,4275,0,0,0,0,0,0,0,0,209,-123,0,0,21
2014.29,0,0,0,0,16,116,1.71321,0.00484635,1.72241,67,0,23,29,34,0,-2,0,0,1,34,4216,4220,98,175,35,435,39129,38983,111,0,41,73,413168,0,0,0,0,1,6,0,5,0,4275,0,0,0,0,0,0,0,0,209,-19,0,0,21
2014.3,0,0,0,0,16,162,1.7129,0.00483028,1.72209,67,0,23,29,33,0,-2,0,0,1,34,4216,4220,98,175,35,435,39085,38918,111,0,14,73,413168,0,0,0,0,1,5,1,0,0,4283,0,0,0,0,0,0,0,0,209,2,0,0,21
2014.31,0,0,0,0,16,480,1.71218,0.00478521,1.72148,67,0,23,29,33,0,-2,0,0,1,34,4179,4220,0,175,35,435,39085,38918,111,0,14,73,0,0,0,0,0,1,0,0,9,0,4281,0,0,0,0,0,0,0,0,209,-19,0,0,21
2014.32,0,0,0,0,15,480,1.71146,0.00474015,1.72087,67,0,23,29,33,0,-2,0,0,1,34,4179,4220,1,175,35,435,39085,38918,111,0,14,73,4179,0,0,0,0,1,0,0,9,0,4281,0,0,0,0,0,0,0,0,209,-19,0,0,20
2014.33,0,0,0,0,15,806,1.71074,0.00469509,1.72027,67,0,23,29,33,0,-2,0,0,1,34,4218,4220,0,175,35,435,39085,38918,111,0,14,73,0,0,0,0,0,1,88,0,0,6,4266,0,0,0,0,0,0,0,0,209,-47,0,0,20
2014.34,0,0,0,0,14,867,1.71002,0.00465003,1.71966,67,0,23,29,33,0,-2,0,0,1,34,4218,4220,0,175,35,435,39085,38918,111,0,14,73,0,0,0,0,0,1,43,316,0,42,4251,0,0,0,0,0,0,0,0,199,-223,0,0,19
2014.35,0,0,0,0,13,817,1.7093,0.00460497,1.71906,67,0,23,29,33,0,-2,0,0,1,34,4218,4220,9,175,35,435,39085,38918,111,0,14,73,37962,0,0,0,0,1,0,288,705,105,4234,0,0,0,0,0,0,0,0,189,-588,0,0,17
