Time,Car.DigitalInput.MSS.PDOC.Pin,Car.DigitalInput.MSS.BMS.Pin,Car.DigitalInput.MSS.BSPD.Pin,Car.DigitalInput.MSS.IMD.Pin,Car.Data.Driver.ThrottlePressure,Car.Data.Motor.MotorRPM,Car.AnalogInput.BMS.CellTempASensor,Car.AnalogInput.BMS.CellTempBSensor,Car.AnalogInput.BMS.CellTempCSensor,Car.Data.Battery.PackSOC,Car.Data.PDM.LVBatteryVoltage,Car.Data.Battery.BMSInternalTemp,Car.Data.Inverter.InverterTemp,Car.Data.Motor.MotorTemp,Car.Data.Inverter.InverterLock,Car.Data.Driver.SteeringAngle,Car.Data.Driver.FrontBrakePressure,Car.Data.Driver.RearBrakePressure,Car.Data.Driver.ThrottleDifference,Car.Data.Battery.HotSpotTemp,Car.Data.Battery.PackInstantaneousVoltage,Car.Data.Battery.PackOpenVoltage,Car.Data.Battery.PackCurrent,Car.Data.Battery.PackDCL,Car.Data.Battery.PackCCL,Car.Data.Battery.PackResistance,Car.Data.Battery.HighCellVoltage,Car.Data.Battery.LowCellVoltage,Car.Data.Battery.InputSupplyVoltage,Car.Data.Battery.CurrentLimitsStatus,Car.Data.Battery.HighCellVoltageID,Car.Data.Battery.LowCellVoltageID,Car.Data.Battery.BatteryPower,Car.Data.PDM.CoolingFanCurrent,Car.Data.PDM.CoolingPumpCurrent,Car.Data.PDM.FanState,Car.Data.PDM.PumpState,Car.Data.Inverter.InverterRelay.Relay2,Car.Data.Inverter.PhaseA,Car.Data.Inverter.PhaseB,Car.Data.Inverter.PhaseC,Car.Data.Inverter.InverterDCCurrent,Car.Data.Inverter.InverterDCVoltage,Car.Data.Inverter.InverterFault.Byte0,Car.Data.Inverter.InverterFault.Byte1,Car.Data.Inverter.InverterFault.Byte2,Car.Data.Inverter.InverterFault.Byte3,Car.Data.Inverter.InverterFault.Byte4,Car.Data.Inverter.InverterFault.Byte5,Car.Data.Inverter.InverterFault.Byte6,Car.Data.Inverter.InverterFault.Byte7,Car.Data.Inverter.InverterCMDTorque,Car.Data.Inverter.InverterFDBTorque,Car.DigitalInput.WheelSpeed.WheelSpeedFrontLeft,Car.DigitalInput.WheelSpeed.WheelSpeedFrontRight,Car.Data.Inverter.InverterCalculatedTorque
1648.01,0,0,0,0,9,1563,1.73068,0.00288322,1.7453,73,0,23,29,33,0,-2,0,0,1,33,4285,4297,22,175,33,506,39622,39326,103,1024,101,98,94270,0,0,0,0,1,268,0,0,68,4318,0,0,0,0,0,0,0,0,90,-164,0,0,9
1648.02,0,0,0,0,9,1510,1.72982,0.00284918,1.74471,73,0,23,29,33,0,-2,0,0,1,33,4285,4297,22,175,33,506,39622,39326,103,1024,101,98,94270,0,0,0,0,1,135,0,0,31,4331,0,0,0,0,0,0,0,0,90,-74,0,0,9
1648.03,0,0,0,0,9,1505,1.72896,0.00281515,1.74411,73,0,23,29,33,0,-2,0,0,1,33,4286,4297,23,175,33,506,39622,39326,103,1024,101,98,98578,0,0,0,0,1,114,0,0,24,4335,0,0,0,0,0,0,0,0,90,-61,0,0,9
1648.04,0,0,0,0,9,1505,1.7281,0.00278112,1.74351,73,0,23,29,33,0,-2,0,0,1,33,4286,4297,23,175,33,506,39622,39326,103,1024,101,98,98578,0,0,0,0,1,114,0,0,24,4335,0,0,0,0,0,0,0,0,90,-61,0,0,9
1648.05,0,0,0,0,9,1513,1.72724,0.00274708,1.74292,73,0,23,29,33,0,-2,0,0,1,33,4285,4297,25,175,33,506,39622,39326,103,1024,101,98,107125,0,0,0,0,1,117,0,0,24,4339,0,0,0,0,0,0,0,0,90,-62,0,0,9
1648.06,0,0,0,0,9,1527,1.72638,0.00271305,1.74232,73,0,23,29,33,0,-2,0,0,1,33,4285,4297,27,175,33,506,39622,39326,103,1024,101,98,115695,0,0,0,0,1,81,0,46,24,4339,0,0,0,0,0,0,0,0,90,-61,0,0,9
1648.07,0,0,0,0,9,1536,1.72552,0.00267902,1.74172,73,0,23,29,33,0,-2,0,0,1,33,4285,4297,29,175,33,506,39622,39326,103,1024,101,98,124265,0,0,0,0,1,57,0,76,25,4350,0,0,0,0,0,0,0,0,90,-57,0,0,9
1648.08,0,0,0,0,9,1552,1.72466,0.00264498,1.74113,73,0,23,29,33,0,-2,0,0,1,33,4285,4297,29,175,33,506,39622,39326,103,1024,101,98,124265,0,0,0,0,1,0,0,126,26,4344,0,0,0,0,0,0,0,0,90,-81,0,0,9
1648.09,0,0,0,0,9,1571,1.7238,0.00261095,1.74053,73,0,23,29,33,0,-2,0,0,1,33,4285,4297,32,175,33,506,39622,39326,103,1024,101,98,137120,0,0,0,0,1,0,10,111,24,4346,0,0,0,0,0,0,0,0,90,-65,0,0,9
1648.1,0,0,0,0,9,1571,1.72294,0.00257692,1.73993,73,0,23,29,32,0,-2,0,0,1,33,4285,4297,32,175,33,506,39742,39519,104,1024,101,73,137120,0,0,0,0,1,0,10,111,24,4346,0,0,0,0,0,0,0,0,90,-65,0,0,9
