Time,Car.DigitalInput.MSS.PDOC.Pin,Car.DigitalInput.MSS.BMS.Pin,Car.DigitalInput.MSS.BSPD.Pin,Car.DigitalInput.MSS.IMD.Pin,Car.Data.Driver.ThrottlePressure,Car.Data.Motor.MotorRPM,Car.AnalogInput.BMS.CellTempASensor,Car.AnalogInput.BMS.CellTempBSensor,Car.AnalogInput.BMS.CellTempCSensor,Car.Data.Battery.PackSOC,Car.Data.PDM.LVBatteryVoltage,Car.Data.Battery.BMSInternalTemp,Car.Data.Inverter.InverterTemp,Car.Data.Motor.MotorTemp,Car.Data.Inverter.InverterLock,Car.Data.Driver.SteeringAngle,Car.Data.Driver.FrontBrakePressure,Car.Data.Driver.RearBrakePressure,Car.Data.Driver.ThrottleDifference,Car.Data.Battery.HotSpotTemp,Car.Data.Battery.PackInstantaneousVoltage,Car.Data.Battery.PackOpenVoltage,Car.Data.Battery.PackCurrent,Car.Data.Battery.PackDCL,Car.Data.Battery.PackCCL,Car.Data.Battery.PackResistance,Car.Data.Battery.HighCellVoltage,Car.Data.Battery.LowCellVoltage,Car.Data.Battery.InputSupplyVoltage,Car.Data.Battery.CurrentLimitsStatus,Car.Data.Battery.HighCellVoltageID,Car.Data.Battery.LowCellVoltageID,Car.Data.Battery.BatteryPower,Car.Data.PDM.CoolingFanCurrent,Car.Data.PDM.CoolingPumpCurrent,Car.Data.PDM.FanState,Car.Data.PDM.PumpState,Car.Data.Inverter.InverterRelay.Relay2,Car.Data.Inverter.PhaseA,Car.Data.Inverter.PhaseB,Car.Data.Inverter.PhaseC,Car.Data.Inverter.InverterDCCurrent,Car.Data.Inverter.InverterDCVoltage,Car.Data.Inverter.InverterFault.Byte0,Car.Data.Inverter.InverterFault.Byte1,Car.Data.Inverter.InverterFault.Byte2,Car.Data.Inverter.InverterFault.Byte3,Car.Data.Inverter.InverterFault.Byte4,Car.Data.Inverter.InverterFault.Byte5,Car.Data.Inverter.InverterFault.Byte6,Car.Data.Inverter.InverterFault.Byte7,Car.Data.Inverter.InverterCMDTorque,Car.Data.Inverter.InverterFDBTorque,Car.DigitalInput.WheelSpeed.WheelSpeedFrontLeft,Car.DigitalInput.WheelSpeed.WheelSpeedFrontRight,Car.Data.Inverter.InverterCalculatedTorque
152.03,0,0,0,0,46,1153,1.7686,0.00604351,1.78525,90,0,21,20,23,0,-2,0,0,1,26,4405,4423,2,175,12,711,40846,40768,109,1024,67,98,8810,0,0,0,0,1,0,0,100,13,4464,0,0,0,0,0,0,0,0,250,-63,0,0,26
152.04,0,0,0,0,45,1153,1.76775,0.00600718,1.78484,90,0,21,20,23,0,-2,0,0,1,26,4405,4423,2,175,12,711,40846,40768,109,1024,67,98,8810,0,0,0,0,1,0,0,100,13,4464,0,0,0,0,0,0,0,0,260,-236,0,0,25
152.05,0,0,0,0,45,1203,1.7669,0.00597085,1.78444,90,0,21,20,23,0,-2,0,0,1,26,4405,4423,1,175,12,711,40846,40768,109,1024,67,98,4405,0,0,0,0,1,0,380,0,73,4430,0,0,0,0,0,0,0,0,260,-236,0,0,25
152.06,0,0,0,0,45,1144,1.76606,0.00593452,1.78403,90,0,21,20,23,0,-2,0,0,1,26,4409,4423,18,175,12,711,40846,40768,109,1024,67,98,79362,0,0,0,0,1,1121,0,0,170,4387,0,0,0,0,0,0,0,0,250,-658,0,0,25
152.07,0,0,0,0,45,857,1.76521,0.00589819,1.78362,90,0,21,20,23,0,-2,0,0,1,26,4409,4423,58,175,12,711,40846,40768,109,1024,67,98,255722,0,0,0,0,1,467,761,0,140,4413,0,0,0,0,0,0,0,0,250,-759,0,0,25
152.08,0,0,0,0,45,557,1.76436,0.00586186,1.78322,90,0,21,20,23,0,-2,0,0,1,26,4409,4423,58,175,13,711,40846,40768,109,1024,67,98,255722,0,0,0,0,1,174,0,0,19,4454,0,0,0,0,0,0,0,0,250,-103,0,0,25
152.09,0,0,0,0,45,462,1.76351,0.00582553,1.78281,90,0,21,21,23,0,-2,0,0,1,26,4402,4423,135,175,13,711,40846,40768,109,1024,67,98,594270,0,0,0,0,1,21,17,0,0,4464,0,0,0,0,0,0,0,0,250,15,0,0,25
152.1,0,0,0,0,46,462,1.76266,0.0057892,1.78241,90,0,21,21,23,0,-2,0,0,1,27,4402,4423,56,175,13,711,40845,40780,109,1024,14,98,246512,0,0,0,0,1,2,41,0,0,4469,0,0,0,0,0,0,0,0,250,8,0,0,26
152.11,0,0,0,0,46,537,1.76173,0.00575673,1.78192,90,0,21,21,23,0,-2,0,0,1,27,4402,4423,5,175,13,711,40845,40780,109,1024,14,98,22010,0,0,0,0,1,2,41,0,0,4469,0,0,0,0,0,0,0,0,250,8,0,0,26
152.12,0,0,0,0,46,897,1.76079,0.00572425,1.78144,90,0,21,21,23,0,-2,0,0,1,27,4402,4423,5,175,13,711,40845,40780,109,1024,14,98,22010,0,0,0,0,1,0,0,268,0,4484,0,0,0,0,0,0,0,0,260,-19,0,0,26
152.13,0,0,0,0,46,1181,1.75986,0.00569177,1.78096,90,0,21,21,23,0,-2,0,0,1,27,4384,4423,2,175,13,711,40845,40780,109,1024,14,98,8768,0,0,0,0,1,123,0,0,15,4449,0,0,0,0,0,0,0,0,260,-68,0,0,26
