Time,Car.DigitalInput.MSS.PDOC.Pin,Car.DigitalInput.MSS.BMS.Pin,Car.DigitalInput.MSS.BSPD.Pin,Car.DigitalInput.MSS.IMD.Pin,Car.Data.Driver.ThrottlePressure,Car.Data.Motor.MotorRPM,Car.AnalogInput.BMS.CellTempASensor,Car.AnalogInput.BMS.CellTempBSensor,Car.AnalogInput.BMS.CellTempCSensor,Car.Data.Battery.PackSOC,Car.Data.PDM.LVBatteryVoltage,Car.Data.Battery.BMSInternalTemp,Car.Data.Inverter.InverterTemp,Car.Data.Motor.MotorTemp,Car.Data.Inverter.InverterLock,Car.Data.Driver.SteeringAngle,Car.Data.Driver.FrontBrakePressure,Car.Data.Driver.RearBrakePressure,Car.Data.Driver.ThrottleDifference,Car.Data.Battery.HotSpotTemp,Car.Data.Battery.PackInstantaneousVoltage,Car.Data.Battery.PackOpenVoltage,Car.Data.Battery.PackCurrent,Car.Data.Battery.PackDCL,Car.Data.Battery.PackCCL,Car.Data.Battery.PackResistance,Car.Data.Battery.HighCellVoltage,Car.Data.Battery.LowCellVoltage,Car.Data.Battery.InputSupplyVoltage,Car.Data.Battery.CurrentLimitsStatus,Car.Data.Battery.HighCellVoltageID,Car.Data.Battery.LowCellVoltageID,Car.Data.Battery.BatteryPower,Car.Data.PDM.CoolingFanCurrent,Car.Data.PDM.CoolingPumpCurrent,Car.Data.PDM.FanState,Car.Data.PDM.PumpState,Car.Data.Inverter.InverterRelay.Relay2,Car.Data.Inverter.PhaseA,Car.Data.Inverter.PhaseB,Car.Data.Inverter.PhaseC,Car.Data.Inverter.InverterDCCurrent,Car.Data.Inverter.InverterDCVoltage,Car.Data.Inverter.InverterFault.Byte0,Car.Data.Inverter.InverterFault.Byte1,Car.Data.Inverter.InverterFault.Byte2,Car.Data.Inverter.InverterFault.Byte3,Car.Data.Inverter.InverterFault.Byte4,Car.Data.Inverter.InverterFault.Byte5,Car.Data.Inverter.InverterFault.Byte6,Car.Data.Inverter.InverterFault.Byte7,Car.Data.Inverter.InverterCMDTorque,Car.Data.Inverter.InverterFDBTorque,Car.DigitalInput.WheelSpeed.WheelSpeedFrontLeft,Car.DigitalInput.WheelSpeed.WheelSpeedFrontRight,Car.Data.Inverter.InverterCalculatedTorque
3576.01,0,0,0,0,0,0,1.58437,0.000959152,1.57672,32,0,30,28,34,1,8,60,0,1,49,3728,3728,0,117,35,416,34613,34271,108,2,82,98,0,0,0,0,0,0.1,2,0,0,0,3772,0,0,0,0,0,4,0,0,0,-2,0,0,0
3576.02,0,0,0,0,0,0,1.58004,0.0015515,1.5728,32,0,30,29,34,1,8,60,0,1,49,3728,3728,0,117,35,416,34613,34271,108,2,82,98,0,0,0,0,0,0.2,0,0,0,0,3781,0,0,0,0,0,4,0,0,0,2,0,0,0
3576.03,0,0,0,0,0,0,1.57572,0.00214384,1.56887,32,0,30,29,34,1,8,60,0,1,49,3728,3728,0,117,35,416,34613,34271,108,2,82,98,0,0,0,0,0,0.3,0,0,0,0,3774,0,0,0,0,0,4,0,0,0,1,0,0,0
3576.04,0,0,0,0,0,0,1.5714,0.00273618,1.56494,32,0,30,29,34,1,8,60,0,1,49,3728,3728,0,117,35,416,34613,34271,108,2,82,98,0,0,0,0,0,0.4,0,0,0,0,3774,0,0,0,0,0,4,0,0,0,1,0,0,0
3576.05,0,0,0,0,0,0,1.56708,0.00332852,1.56102,32,0,30,29,34,1,8,60,0,1,49,3728,3728,0,117,35,416,34613,34271,108,2,82,98,0,0,0,0,0,0.5,0,0,0,0,3777,0,0,0,0,0,4,0,0,0,-1,0,0,0
3576.06,0,0,0,0,0,0,1.56275,0.00392087,1.55709,32,0,30,29,34,1,8,60,0,1,49,3728,3728,0,117,35,416,34613,34271,108,2,82,98,0,0,0,0,0,0.6,4,7,7,0,3779,0,0,0,0,0,4,0,0,0,2,0,0,0
3576.07,0,0,0,0,0,0,1.55843,0.00451321,1.55317,32,0,30,29,34,1,8,60,0,1,49,3728,3728,0,117,35,416,34613,34271,108,2,82,98,0,0,0,0,0,0.7,2,3,0,0,3779,0,0,0,0,0,4,0,0,0,2,0,0,0
3576.08,0,0,0,0,0,0,1.55411,0.00510555,1.54924,32,0,30,29,34,1,8,60,0,1,49,3728,3728,0,117,35,416,34613,34271,108,2,82,98,0,0,0,0,0,0.8,0,0,0,0,3785,0,0,0,0,0,4,0,0,0,-3,0,0,0
3576.09,0,0,0,0,0,0,1.54979,0.00569789,1.54531,32,0,30,29,34,1,8,60,0,1,49,3728,3728,0,117,35,416,34613,34271,108,2,82,98,0,0,0,0,0,0.9,0,0,0,0,3783,0,0,0,0,0,4,0,0,0,1,0,0,0
3576.1,0,0,0,0,0,0,1.54546,0.00629024,1.54139,32,0,30,29,33,0,8,60,0,1,55,3728,3728,0,117,35,711,34633,34296,109,2,82,98,0,0,0,0,0,1,0,0,0,0,3783,0,0,0,0,0,0,0,0,0,1,0,0,0
3576.11,0,0,0,0,0,0,1.54531,0.00628904,1.54119,32,0,30,29,33,0,8,60,0,1,55,3728,3728,0,117,35,711,34633,34296,109,2,82,98,0,0,0,0,0,1,13,13,7,0,3783,0,0,0,0,0,0,0,0,0,0,0,0,0
3576.12,0,0,0,0,0,0,1.54515,0.00628784,1.541,32,0,30,29,33,0,8,60,0,1,55,3728,3728,0,117,35,711,34633,34296,109,2,82,98,0,0,0,0,0,1,0,0,0,0,3783,0,0,0,0,0,0,0,0,0,0,0,0,0
3576.13,0,0,0,0,0,0,1.54499,0.00628664,1.5408,32,0,30,29,33,0,7,60,0,1,55,3728,3728,0,117,35,711,34633,34296,109,2,82,98,0,0,0,0,0,1,0,0,0,0,3777,0,0,0,0,0,0,0,0,0,-2,0,0,0
3576.14,0,0,0,0,0,0,1.54483,0.00628544,1.54061,32,0,30,29,33,0,7,60,0,1,55,3728,3728,0,117,35,711,34633,34296,109,2,82,98,0,0,0,0,0,1,0,0,0,0,3779,0,0,0,0,0,0,0,0,0,1,0,0,0
3576.15,0,0,0,0,0,0,1.54468,0.00628424,1.54041,32,0,30,29,33,0,8,60,0,1,55,3728,3728,0,117,35,711,34633,34296,109,2,82,98,0,0,0,0,0,1,0,0,0,0,3779,0,0,0,0,0,0,0,0,0,1,0,0,0
3576.16,0,0,0,0,0,0,1.54452,0.00628304,1.54022,32,0,30,29,33,0,8,60,0,1,55,3728,3728,0,117,35,711,34633,34296,109,2,82,98,0,0,0,0,0,1,0,0,0,0,3779,0,0,0,0,0,0,0,0,0,1,0,0,0
3576.17,0,0,0,0,0,0,1.54436,0.00628184,1.54002,32,0,30,29,33,0,8,60,0,1,55,3728,3728,0,117,35,711,34633,34296,109,2,82,98,0,0,0,0,0,1,4,1,0,0,3783,0,0,0,0,0,0,0,0,0,0,0,0,0
3576.18,0,0,0,0,0,0,1.54421,0.00628064,1.53983,32,0,30,29,33,0,8,60,0,1,55,3728,3728,0,117,35,711,34633,34296,109,2,82,98,0,0,0,0,0,1,0,3,0,0,3777,0,0,0,0,0,0,0,0,0,-1,0,0,0
3576.19,0,0,0,0,0,0,1.54405,0.00627944,1.53963,32,0,30,29,33,0,8,59,0,1,55,3728,3728,0,117,35,711,34633,34296,109,2,82,98,0,0,0,0,0,1,0,0,0,0,3779,0,0,0,0,0,0,0,0,0,0,0,0,0
3576.2,0,0,0,0,0,0,1.54389,0.00627824,1.53944,32,0,30,29,33,0,8,59,0,1,56,3728,3728,0,117,35,711,34632,34296,109,2,82,98,0,0,0,0,0,1,0,0,0,0,3781,0,0,0,0,0,0,0,0,0,0,0,0,0
3576.21,0,0,0,0,0,0,1.54376,0.00628359,1.53978,32,0,30,29,33,0,8,59,0,1,56,3728,3728,0,117,35,711,34632,34296,109,2,82,98,0,0,0,0,0,1,0,0,0,0,3779,0,0,0,0,0,0,0,0,0,1,0,0,0
3576.22,0,0,0,0,0,0,1.54362,0.00628893,1.54012,32,0,30,29,33,0,8,59,0,1,56,3728,3728,0,117,35,711,34632,34296,109,2,82,98,0,0,0,0,0,1,0,0,0,0,3779,0,0,0,0,0,0,0,0,0,1,0,0,0
3576.23,0,0,0,0,0,0,1.54349,0.00629428,1.54047,32,0,30,29,33,0,8,59,0,1,56,3728,3728,0,117,35,711,34632,34296,109,2,82,98,0,0,0,0,0,1,0,0,0,0,3781,0,0,0,0,0,0,0,0,0,0,0,0,0
3576.24,0,0,0,0,0,0,1.54335,0.00629962,1.54081,32,0,30,29,33,0,8,59,0,1,56,3728,3728,0,117,35,711,34632,34296,109,2,82,98,0,0,0,0,0,1,0,0,3,0,3781,0,0,0,0,0,0,0,0,0,-4,0,0,0
3576.25,0,0,0,0,0,0,1.54322,0.00630497,1.54115,32,0,30,29,33,0,8,59,0,1,56,3728,3728,0,117,35,711,34632,34296,109,2,82,98,0,0,0,0,0,1,4,3,0,0,3783,0,0,0,0,0,0,0,0,0,2,0,0,0
3576.26,0,0,0,0,0,0,1.54308,0.00631031,1.5415,32,0,30,29,33,0,8,59,0,1,56,3728,3728,0,117,35,711,34632,34296,109,2,82,98,0,0,0,0,0,1,2,5,0,0,3777,0,0,0,0,0,0,0,0,0,0,0,0,0
3576.27,0,0,0,0,0,0,1.54295,0.00631566,1.54184,32,0,30,29,33,0,8,59,0,1,56,3728,3728,0,117,35,711,34632,34296,109,2,82,98,0,0,0,0,0,1,0,1,0,0,3781,0,0,0,0,0,0,0,0,0,-1,0,0,0
3576.28,0,0,0,0,0,0,1.54282,0.006321,1.54218,32,0,30,29,33,0,8,59,0,1,56,3728,3728,0,117,35,711,34632,34296,109,2,82,98,0,0,0,0,0,1,0,1,0,0,3781,0,0,0,0,0,0,0,0,0,-1,0,0,0
3576.29,0,0,0,0,0,0,1.54268,0.00632635,1.54253,32,0,30,29,33,0,8,59,0,1,56,3728,3728,0,117,35,711,34632,34296,109,2,82,98,0,0,0,0,0,1,6,9,1,0,3785,0,0,0,0,0,0,0,0,0,1,0,0,0
3576.3,0,0,0,0,0,0,1.54255,0.00633169,1.54287,32,0,30,29,33,0,8,59,0,1,55,3728,3728,0,117,35,711,34634,34297,109,2,82,98,0,0,0,0,0,1,4,5,0,0,3779,0,0,0,0,0,0,0,0,0,-5,0,0,0
3576.31,0,0,0,0,0,0,1.54268,0.00632962,1.54304,32,0,30,29,33,0,7,59,0,1,55,3728,3728,0,117,35,711,34634,34297,109,2,82,98,0,0,0,0,0,1,0,0,0,0,3772,0,0,0,0,0,0,0,0,0,-3,0,0,0
3576.32,0,0,0,0,0,0,1.54282,0.00632754,1.54322,32,0,30,29,33,0,7,59,0,1,55,3728,3728,0,117,35,711,34634,34297,109,2,82,98,0,0,0,0,0,1,4,3,0,0,3777,0,0,0,0,0,0,0,0,0,-1,0,0,0
3576.33,0,0,0,0,0,0,1.54296,0.00632547,1.54339,32,0,30,29,33,0,7,59,0,1,55,3728,3728,0,117,35,711,34634,34297,109,2,82,98,0,0,0,0,0,1,4,0,0,0,3777,0,0,0,0,0,0,0,0,0,0,0,0,0
