Time,Car.DigitalInput.MSS.PDOC.Pin,Car.DigitalInput.MSS.BMS.Pin,Car.DigitalInput.MSS.BSPD.Pin,Car.DigitalInput.MSS.IMD.Pin,Car.Data.Driver.ThrottlePressure,Car.Data.Motor.MotorRPM,Car.AnalogInput.BMS.CellTempASensor,Car.AnalogInput.BMS.CellTempBSensor,Car.AnalogInput.BMS.CellTempCSensor,Car.Data.Battery.PackSOC,Car.Data.PDM.LVBatteryVoltage,Car.Data.Battery.BMSInternalTemp,Car.Data.Inverter.InverterTemp,Car.Data.Motor.MotorTemp,Car.Data.Inverter.InverterLock,Car.Data.Driver.SteeringAngle,Car.Data.Driver.FrontBrakePressure,Car.Data.Driver.RearBrakePressure,Car.Data.Driver.ThrottleDifference,Car.Data.Battery.HotSpotTemp,Car.Data.Battery.PackInstantaneousVoltage,Car.Data.Battery.PackOpenVoltage,Car.Data.Battery.PackCurrent,Car.Data.Battery.PackDCL,Car.Data.Battery.PackCCL,Car.Data.Battery.PackResistance,Car.Data.Battery.HighCellVoltage,Car.Data.Battery.LowCellVoltage,Car.Data.Battery.InputSupplyVoltage,Car.Data.Battery.CurrentLimitsStatus,Car.Data.Battery.HighCellVoltageID,Car.Data.Battery.LowCellVoltageID,Car.Data.Battery.BatteryPower,Car.Data.PDM.CoolingFanCurrent,Car.Data.PDM.CoolingPumpCurrent,Car.Data.PDM.FanState,Car.Data.PDM.PumpState,Car.Data.Inverter.InverterRelay.Relay2,Car.Data.Inverter.PhaseA,Car.Data.Inverter.PhaseB,Car.Data.Inverter.PhaseC,Car.Data.Inverter.InverterDCCurrent,Car.Data.Inverter.InverterDCVoltage,Car.Data.Inverter.InverterFault.Byte0,Car.Data.Inverter.InverterFault.Byte1,Car.Data.Inverter.InverterFault.Byte2,Car.Data.Inverter.InverterFault.Byte3,Car.Data.Inverter.InverterFault.Byte4,Car.Data.Inverter.InverterFault.Byte5,Car.Data.Inverter.InverterFault.Byte6,Car.Data.Inverter.InverterFault.Byte7,Car.Data.Inverter.InverterCMDTorque,Car.Data.Inverter.InverterFDBTorque,Car.DigitalInput.WheelSpeed.WheelSpeedFrontLeft,Car.DigitalInput.WheelSpeed.WheelSpeedFrontRight,Car.Data.Inverter.InverterCalculatedTorque
1836.21,0,0,0,0,7,699,1.69096,0.0014045,1.72101,70,0,23,29,33,0,-2,0,0,2,37,4254,4257,2,175,35,481,39466,39278,107,0,101,73,8508,0,0,0,0,1,0,60,13,1,4320,0,0,0,0,0,0,0,0,80,-11,0,0,8
1836.22,0,0,0,0,8,582,1.69018,0.00146067,1.71954,70,0,23,29,33,0,-2,0,0,2,37,4254,4257,0,175,35,481,39466,39278,107,0,101,73,0,0,0,0,0,1,5,34,0,4,4318,0,0,0,0,0,0,0,0,80,-22,0,0,9
1836.23,0,0,0,0,8,582,1.6894,0.00151685,1.71807,70,0,23,29,33,0,-2,0,0,2,37,4254,4257,0,175,35,481,39466,39278,107,0,101,73,0,0,0,0,0,1,5,34,0,4,4318,0,0,0,0,0,0,0,0,90,-21,0,0,9
1836.24,0,0,0,0,9,488,1.68862,0.00157302,1.71659,70,0,23,29,33,0,-2,0,0,2,37,4257,4257,0,175,35,481,39466,39278,107,0,101,73,0,0,0,0,0,1,16,34,0,2,4318,0,0,0,0,0,0,0,0,90,-21,0,0,10
1836.25,0,0,0,0,9,470,1.68785,0.0016292,1.71512,70,0,23,29,33,0,-2,0,0,2,37,4257,4257,-12,175,35,481,39466,39278,107,0,101,73,-51084,0,0,0,0,1,0,19,0,1,4320,0,0,0,0,0,0,0,0,90,-10,0,0,10
1836.26,0,0,0,0,10,471,1.68707,0.00168537,1.71365,70,0,23,29,33,0,-2,0,0,2,37,4257,4257,-4,175,35,481,39466,39278,107,0,101,73,-17028,0,0,0,0,1,0,40,7,0,4320,0,0,0,0,0,0,0,0,100,-15,0,0,11
1836.27,0,0,0,0,10,472,1.68629,0.00174155,1.71218,70,0,23,29,33,0,-2,0,0,2,37,4257,4257,-4,175,35,481,39466,39278,107,0,101,73,-17028,0,0,0,0,1,0,30,0,2,4318,0,0,0,0,0,0,0,0,110,-23,0,0,11
1836.28,0,0,0,0,10,506,1.68551,0.00179772,1.71071,70,0,23,29,33,0,-2,0,0,2,37,4258,4257,3,175,35,481,39466,39278,107,0,101,73,12774,0,0,0,0,1,0,20,13,1,4324,0,0,0,0,0,0,0,0,110,-20,0,0,11
1836.29,0,0,0,0,10,506,1.68473,0.00185389,1.70923,70,0,23,29,33,0,-2,0,0,2,37,4258,4257,3,175,35,481,39466,39278,107,0,101,73,12774,0,0,0,0,1,0,20,13,1,4324,0,0,0,0,0,0,0,0,110,-25,0,0,11
1836.3,0,0,0,0,10,591,1.68395,0.00191007,1.70776,70,0,23,29,33,0,-2,0,0,2,37,4256,4257,4,175,35,481,39481,39297,107,0,101,73,17024,0,0,0,0,1,0,43,0,5,4322,0,0,0,0,0,0,0,0,110,-25,0,0,11
1836.31,0,0,0,0,10,661,1.68371,0.00205855,1.70688,70,0,23,29,33,0,-2,0,0,2,37,4256,4257,4,175,35,481,39481,39297,107,0,101,73,17024,0,0,0,0,1,137,0,0,16,4307,0,0,0,0,0,0,0,0,110,-82,0,0,11
1836.32,0,0,0,0,10,692,1.68346,0.00220703,1.706,70,0,23,29,33,0,-2,0,0,2,37,4256,4257,0,175,35,481,39481,39297,107,0,101,73,0,0,0,0,0,1,0,0,179,24,4316,0,0,0,0,0,0,0,0,110,-84,0,0,11
1836.33,0,0,0,0,11,727,1.68322,0.0023555,1.70512,70,0,23,29,33,0,-2,0,0,2,37,4256,4257,0,175,35,481,39481,39297,107,0,101,73,0,0,0,0,0,1,63,114,0,27,4301,0,0,0,0,0,0,0,0,110,-105,0,0,12
